"spell_duration","cens","case.ID","race","sex","highest_educ","age_at_start"
5,1,3025,3,2,1,1993
11,1,3025,3,2,1,1993
2,0,3025,3,2,1,1993
11,1,3026,3,1,1,1989
17,1,3028,2,1,0,1989
12,1,3028,2,1,0,1990
107,0,3028,2,1,0,1991
1,1,3029,2,1,1,1992
1,1,3029,2,1,1,1992
23,1,3032,2,1,0,1992
30,1,3035,3,2,0,1990
27,1,3035,3,2,0,1991
23,1,3041,3,2,1,1989
10,1,3041,3,2,1,1990
28,1,3041,3,2,1,1990
2,1,3041,3,2,1,1993
8,1,3043,3,2,0,1989
14,1,3043,3,2,0,1993
6,1,3047,3,2,0,1989
15,1,3047,3,2,0,1990
18,1,3047,3,2,1,1992
2,1,3049,3,2,0,1989
86,1,3049,3,2,0,1989
15,1,3049,3,2,0,1992
1,1,3050,3,1,0,1990
14,1,3051,3,2,0,1990
26,1,3051,3,2,0,1993
18,1,3055,3,1,0,1990
24,1,3055,3,1,0,1992
8,1,3056,3,1,0,1989
8,1,3056,3,1,0,1990
5,1,3056,3,1,0,1991
3,1,3056,3,1,0,1991
7,1,3056,3,1,0,1991
9,1,3056,3,1,0,1991
15,1,3056,3,1,0,1992
10,1,3056,3,1,0,1993
11,1,3057,3,2,0,1992
25,0,3057,3,2,0,1993
4,1,3058,3,2,0,1991
4,1,3058,3,2,0,1992
3,1,3061,3,2,1,1989
11,1,3061,3,2,1,1991
1,1,3063,3,1,0,1992
236,0,3064,2,2,1,1989
8,1,3066,2,2,0,1989
29,1,3066,2,2,0,1989
192,0,3066,2,2,0,1990
48,1,3068,2,2,0,1991
23,1,3068,2,2,0,1993
7,1,3069,2,2,1,1991
13,1,3071,2,1,0,1992
8,1,3071,2,1,0,1993
3,1,3071,2,1,0,1993
15,1,3072,2,1,0,1990
4,1,3072,2,1,0,1991
1,1,3072,2,1,0,1991
21,1,3072,2,1,0,1993
58,1,3073,2,2,0,1989
82,1,3073,2,2,0,1990
58,0,3073,2,2,0,1992
39,1,3074,2,2,0,1989
119,0,3074,2,2,0,1991
4,1,3075,2,2,0,1989
36,1,3075,2,2,0,1990
2,1,3075,2,2,0,1991
21,1,3075,2,2,0,1991
1,1,3075,2,2,0,1992
67,1,3077,2,1,0,1992
11,1,3078,2,2,1,1989
8,1,3078,2,2,1,1990
17,1,3079,3,2,0,1992
28,1,3080,3,2,0,1989
11,1,3080,3,2,0,1991
3,1,3081,3,2,0,1990
72,1,3081,3,2,0,1992
1,1,3082,3,1,0,1989
2,1,3084,3,1,1,1992
22,1,3086,3,1,1,1992
1,1,3087,3,1,0,1990
7,1,3087,3,1,0,1993
34,0,3087,3,1,0,1993
18,1,3089,3,1,1,1992
6,0,3089,3,1,1,1993
1,1,3091,3,2,1,1992
56,0,3093,3,2,0,1992
223,0,3094,3,2,0,1989
1,1,3097,3,1,1,1989
14,0,3099,3,2,1,1993
4,1,3103,3,1,0,1991
14,1,3103,3,1,0,1992
5,1,3103,3,1,0,1993
17,1,3104,3,1,0,1989
1,1,3104,3,1,0,1989
89,1,3104,3,1,0,1989
3,1,3104,3,1,0,1991
6,1,3104,3,1,0,1991
11,1,3105,3,2,0,1990
19,1,3105,3,2,0,1990
3,1,3105,3,2,0,1993
2,1,3105,3,2,0,1993
1,1,3107,3,2,1,1991
4,1,3108,3,2,0,1991
20,1,3108,3,2,0,1992
56,1,3108,3,2,0,1992
1,1,3109,3,2,1,1990
3,1,3110,3,2,1,1990
44,0,3110,3,2,1,1993
62,1,3114,3,1,0,1991
35,1,3115,3,2,0,1989
18,1,3115,3,2,0,1992
3,1,3115,3,2,0,1993
5,1,3116,3,1,0,1991
1,1,3117,3,2,1,1989
8,1,3117,3,2,1,1991
25,1,3119,3,2,0,1991
5,1,3119,3,2,0,1993
10,1,3120,3,2,1,1992
222,0,3121,3,2,0,1989
19,0,3126,3,1,1,1993
1,1,3128,3,1,0,1993
206,0,3129,3,2,0,1990
4,1,3132,3,1,1,1989
2,1,3132,3,1,1,1990
3,1,3134,3,2,0,1989
3,1,3134,3,2,0,1989
3,1,3134,3,2,0,1989
3,1,3134,3,2,0,1990
2,1,3134,3,2,0,1991
3,1,3134,3,2,0,1992
2,1,3139,3,1,1,1993
1,1,3141,3,1,1,1990
71,1,3141,3,1,1,1991
4,1,3142,3,1,1,1989
53,1,3142,3,1,1,1990
1,1,3143,3,2,1,1989
3,1,3143,3,2,1,1989
17,1,3145,3,2,1,1990
37,0,3145,3,2,1,1993
15,1,3146,3,2,1,1989
10,1,3146,3,2,1,1989
2,1,3146,3,2,1,1990
1,1,3150,3,2,1,1991
13,1,3154,3,2,1,1990
36,0,3154,3,2,1,1993
12,1,3155,3,2,1,1990
39,1,3155,3,2,1,1990
100,0,3155,3,2,1,1992
2,1,3156,3,2,1,1992
10,1,3156,3,2,1,1993
2,1,3159,3,1,1,1990
2,1,3159,3,1,1,1990
1,1,3161,3,1,1,1991
2,1,3161,3,1,1,1991
12,1,3161,3,1,1,1992
185,0,3162,3,2,1,1990
110,0,3164,3,2,0,1991
30,1,3165,3,2,0,1989
8,1,3173,3,1,1,1992
10,1,3173,3,1,1,1993
4,1,3174,3,2,1,1989
219,0,3174,3,2,1,1989
3,1,3175,2,2,0,1990
44,1,3175,2,2,0,1992
25,1,3176,2,2,0,1991
3,1,3177,2,1,0,1990
1,1,3177,2,1,0,1990
18,1,3177,2,1,0,1990
4,1,3177,2,1,0,1992
2,1,3177,2,1,0,1993
42,1,3178,2,2,0,1992
2,1,3179,3,2,1,1989
233,0,3179,3,2,1,1989
1,1,3180,3,1,1,1993
3,1,3182,3,2,1,1990
17,1,3182,3,2,1,1993
6,0,3182,3,2,1,1993
15,1,3189,2,1,1,1989
18,1,3189,2,1,1,1990
1,1,3189,2,1,1,1991
21,1,3189,2,1,1,1991
10,1,3189,2,1,1,1992
6,1,3190,2,2,0,1993
17,0,3190,2,2,0,1993
4,1,3191,2,2,1,1989
5,1,3191,2,2,1,1990
11,1,3191,2,2,1,1992
1,1,3191,2,2,1,1992
24,1,3191,2,2,1,1992
2,1,3191,2,2,1,1993
1,0,3191,2,2,1,1993
13,1,3192,2,1,0,1989
56,1,3197,3,2,0,1990
13,1,3198,3,2,0,1992
18,1,3198,3,2,1,1993
5,1,3201,3,2,0,1991
16,1,3202,3,1,0,1991
25,1,3203,3,1,0,1991
32,1,3203,3,1,0,1991
6,1,3203,3,1,0,1993
22,0,3203,3,1,0,1993
54,1,3204,3,2,0,1989
46,1,3204,3,2,0,1991
5,1,3205,3,2,1,1990
2,1,3205,3,2,1,1993
2,1,3206,3,2,0,1989
10,1,3206,3,2,0,1989
44,1,3206,3,2,0,1990
1,0,3206,3,2,0,1993
9,1,3209,3,2,0,1989
11,1,3209,3,2,0,1991
3,1,3209,3,2,0,1992
2,1,3209,3,2,0,1992
1,1,3210,3,1,0,1989
23,1,3210,3,1,0,1989
4,1,3213,3,1,0,1989
14,1,3213,3,1,0,1993
16,1,3218,3,2,1,1992
10,1,3220,3,1,0,1990
25,1,3220,3,1,0,1991
6,1,3221,3,2,0,1990
4,1,3221,3,2,0,1992
4,1,3221,3,2,0,1992
2,1,3221,3,2,0,1993
20,1,3227,3,2,1,1991
5,1,3227,3,2,1,1992
12,1,3227,3,2,1,1992
3,1,3227,3,2,1,1993
2,1,3229,3,1,1,1990
17,1,3229,3,1,1,1990
9,1,3229,3,1,1,1991
2,1,3230,3,1,0,1989
32,1,3230,3,1,0,1993
2,1,3231,3,2,0,1989
10,1,3231,3,2,0,1990
11,1,3231,3,2,0,1990
2,1,3231,3,2,0,1991
3,1,3236,3,2,0,1989
25,1,3236,3,2,0,1989
3,1,3236,3,2,0,1991
1,1,3236,3,2,0,1992
5,1,3236,3,2,0,1992
1,1,3240,3,1,1,1991
11,1,3242,3,2,0,1991
9,1,3242,3,2,0,1991
18,1,3242,3,2,0,1992
2,0,3242,3,2,0,1993
7,1,3244,3,2,1,1989
1,1,3244,3,2,1,1990
12,1,3244,3,2,1,1991
6,1,3244,3,2,1,1992
1,1,3245,3,2,0,1992
2,1,3247,3,1,0,1991
2,1,3247,3,1,0,1991
2,1,3248,3,2,0,1989
16,1,3248,3,2,0,1991
3,0,3249,3,2,1,1993
4,1,3250,3,2,1,1989
3,1,3250,3,2,1,1989
3,1,3250,3,2,1,1990
3,1,3250,3,2,1,1991
2,1,3250,3,2,1,1993
3,1,3252,3,2,0,1989
1,1,3252,3,2,0,1990
6,1,3252,3,2,0,1990
37,1,3253,3,2,0,1989
47,1,3253,3,2,0,1990
4,1,3253,3,2,0,1992
8,1,3253,3,2,0,1992
45,1,3253,3,2,0,1993
2,1,3254,3,2,0,1990
2,1,3255,3,1,1,1989
13,1,3255,3,1,1,1989
3,1,3255,3,1,1,1990
10,1,3255,3,1,1,1991
3,1,3255,3,1,1,1991
5,1,3255,3,1,1,1991
3,1,3255,3,1,1,1992
16,1,3255,3,1,1,1992
41,1,3256,3,1,1,1990
3,1,3256,3,1,1,1992
10,1,3257,3,1,1,1990
16,1,3257,3,1,1,1992
133,0,3260,2,2,0,1991
2,1,3261,2,1,0,1993
29,1,3264,1,1,0,1990
72,1,3265,1,1,0,1990
52,1,3266,1,2,0,1989
12,1,3266,1,2,0,1990
11,1,3266,1,2,1,1991
9,1,3266,1,2,1,1992
4,1,3266,1,2,1,1993
44,1,3267,1,1,0,1989
4,1,3267,1,1,0,1990
14,1,3267,1,1,0,1991
3,1,3267,1,1,0,1992
2,1,3267,1,1,0,1992
6,1,3267,1,1,0,1992
42,1,3267,1,1,0,1992
55,1,3268,1,2,0,1989
47,1,3268,1,2,0,1990
76,1,3268,1,2,0,1991
49,1,3269,1,2,1,1990
32,1,3271,3,1,0,1990
1,1,3271,3,1,0,1992
3,0,3271,3,1,0,1993
1,1,3272,3,1,0,1989
7,1,3272,3,1,0,1990
2,1,3273,1,2,0,1989
128,1,3273,1,2,0,1990
3,1,3273,1,2,0,1993
56,1,3274,1,1,0,1991
1,1,3274,1,1,0,1992
13,1,3278,3,2,1,1992
8,1,3279,3,1,0,1993
2,1,3281,1,1,1,1991
2,1,3281,1,1,1,1993
4,1,3282,1,1,1,1990
9,1,3284,3,1,1,1992
7,1,3285,1,2,0,1991
3,1,3286,1,2,1,1989
8,1,3286,1,2,1,1990
11,1,3286,1,2,1,1991
3,1,3286,1,2,1,1992
8,1,3286,1,2,1,1993
3,1,3287,3,2,1,1992
1,1,3290,3,1,1,1989
84,1,3292,3,2,1,1989
19,1,3292,3,2,1,1991
35,1,3292,3,2,1,1991
47,0,3292,3,2,1,1993
11,1,3293,3,2,0,1989
13,1,3293,3,2,0,1990
3,1,3293,3,2,0,1990
3,1,3293,3,2,0,1991
6,1,3293,3,2,0,1991
5,1,3293,3,2,0,1991
12,1,3293,3,2,0,1992
9,1,3293,3,2,0,1993
7,1,3296,3,1,0,1989
200,0,3296,3,1,0,1989
43,1,3303,3,2,1,1989
23,1,3303,3,2,1,1991
12,1,3303,3,2,1,1992
6,0,3304,1,2,1,1993
3,1,3305,1,2,1,1990
46,1,3305,1,2,1,1991
30,1,3305,1,2,1,1992
3,1,3306,2,2,0,1992
20,0,3306,2,2,0,1993
98,0,3307,2,1,1,1992
2,1,3310,2,1,0,1989
5,1,3310,2,1,0,1989
18,1,3311,2,1,0,1990
10,1,3311,2,1,0,1992
6,1,3312,2,2,1,1989
3,1,3312,2,2,1,1993
115,0,3313,3,1,0,1991
106,1,3315,2,2,1,1991
3,0,3315,2,2,1,1993
20,1,3316,2,2,0,1990
13,1,3316,2,2,0,1990
24,1,3316,2,2,0,1991
40,1,3316,2,2,0,1992
37,1,3317,2,2,0,1989
8,1,3317,2,2,0,1990
8,1,3317,2,2,0,1991
124,0,3317,2,2,0,1991
96,1,3318,2,1,0,1990
33,1,3318,2,1,0,1992
63,1,3319,3,1,0,1989
9,1,3319,3,1,0,1990
63,1,3319,3,1,0,1991
8,1,3319,3,1,0,1993
67,1,3321,3,2,0,1989
4,1,3321,3,2,0,1991
5,1,3322,2,2,1,1992
5,1,3326,2,1,0,1989
42,1,3326,2,1,0,1989
2,1,3326,2,1,0,1991
18,1,3326,2,1,0,1992
6,1,3327,2,1,0,1991
8,1,3329,3,1,0,1991
27,1,3329,3,1,0,1991
2,1,3330,3,1,1,1990
234,0,3332,3,2,1,1989
76,1,3334,2,1,0,1991
59,0,3334,2,1,0,1992
15,1,3338,3,2,1,1989
13,1,3338,3,2,1,1990
31,1,3338,3,2,1,1991
2,1,3338,3,2,1,1992
7,1,3338,3,2,1,1992
26,0,3338,3,2,1,1993
17,1,3339,3,2,0,1992
