"spell_duration","cens","case.ID","race","sex","highest_educ","age_at_start"
17,1,3545,2,2,1,1990
152,0,3545,2,2,1,1991
2,1,3546,2,2,1,1992
6,1,3546,2,2,1,1992
25,1,3547,2,2,1,1992
144,0,3548,2,2,0,1991
105,1,3549,3,2,0,1990
37,1,3549,3,2,0,1992
1,1,3550,3,1,0,1990
7,1,3550,3,1,0,1993
2,1,3552,3,2,0,1993
9,1,3553,3,1,0,1990
3,1,3553,3,1,0,1993
227,0,3555,3,2,0,1989
2,1,3556,3,2,0,1989
10,1,3556,3,2,0,1991
2,1,3558,3,2,1,1990
11,1,3558,3,2,1,1990
1,1,3558,3,2,1,1992
2,1,3559,3,1,0,1989
3,1,3559,3,1,0,1992
3,1,3560,3,2,0,1990
3,1,3561,3,1,0,1993
6,1,3561,3,1,0,1993
13,1,3567,3,1,0,1991
3,0,3567,3,1,0,1993
9,1,3569,3,1,0,1990
22,1,3571,3,1,0,1992
